place,name,dist_km,lat,lon,osm_type,osm_id
neighbourhood,Valea Tisei,80.0,45.1292518,26.3188219,node,12232706369
neighbourhood,Vest I,57.1,44.933278,25.9862462,way,878352830
neighbourhood,Vest II,56.8,44.9314685,25.993756,way,878225127
neighbourhood,Villacrosse,0.8,44.4337908,26.104802,node,12184894044
neighbourhood,Vivando Residence,0.9,44.4204532,26.0964344,way,322979848
neighbourhood,ZONA GARII,75.0,44.9187266,25.4542524,way,1147863143
neighbourhood,ZONA LAMINORULUI,75.5,44.917612,25.4424491,way,1147863294
neighbourhood,ZONA ROMLUX,77.1,44.9278498,25.4277971,way,1147864059
neighbourhood,ZONA SAGRICOM,70.5,44.9003819,25.5100182,way,1147919010
neighbourhood,Zodiac,9.8,44.5142262,26.1162152,way,238359267
neighbourhood,Zona Clas Park,76.3,44.9396233,25.4611331,node,12089105286
neighbourhood,Ștefan cel Mare,3.0,44.4524718,26.1126205,node,2483025838
neighbourhood,Ștefănești,77.7,44.1284267,25.2197604,node,11067241456
neighbourhood,Вилна Зона Запад,68.5,43.8190561,25.9614417,node,2908668278
neighbourhood,Средния път,70.5,43.8015808,25.9575235,node,4872547630
neighbourhood,"в.з. ""Кръста""",65.8,43.8414945,25.980965,node,2908665529
neighbourhood,"в.з. ""Христо Македонски""",65.6,43.8430267,25.9874882,node,2908635292
neighbourhood,в.з. Долни Ростов,66.0,43.8388635,25.9873809,node,2908667713
neighbourhood,в.з. Кадъшева нива,64.3,43.8519779,26.0192898,node,2908656448
neighbourhood,в.з. Касева чешма,65.2,43.8451068,26.0041777,node,2908663200
neighbourhood,в.з. Лозята,67.9,43.82235,25.9814555,node,3139337553
neighbourhood,в.з. Русофили,69.0,43.8131352,25.9777201,node,3765287163
neighbourhood,в.з. Сафтабюлюк,66.7,43.8301165,26.0162579,node,2908660878
neighbourhood,в.з. Средна кула,69.6,43.8101908,25.9546482,node,4872547631
neighbourhood,в.з. Хайдук дере,66.4,43.8345761,25.9957065,node,2908667610
neighbourhood,ж.к. Здравец-север 1,64.7,43.8521982,25.9778862,node,4356487054
neighbourhood,ж.к. Здравец-север 2,64.5,43.8529605,25.9856431,node,4356487055
neighbourhood,кв. Слатина,61.8,43.8729162,26.0345614,node,8602238286
suburb,1 Mai,6.5,44.472011,26.0503309,node,12126278285
suburb,13 Septembrie,2.9,44.4205573,26.0665034,node,8864061244
suburb,16 Februarie,8.7,44.4762544,26.0181215,node,2482887577
suburb,23 August,8.2,44.4294052,26.2057658,way,230447502
suburb,9 Mai,56.3,44.9278587,25.9978119,node,8180442041
suburb,Albert,60.0,44.9598507,25.9821314,node,8932566960
suburb,Ana Ipătescu,56.6,44.9324398,26.020483,node,8224525582
suburb,Andrei Mureșanu,59.0,44.9528862,26.0077071,node,8207447155
suburb,Andronache,6.7,44.4781499,26.1473351,node,8867960068
suburb,Antim,0.8,44.4259895,26.0930632,node,12137293067
suburb,Apărătorii Patriei,6.2,44.3768209,26.1368394,node,8863889490
suburb,Aviatorilor,4.2,44.4610731,26.0812081,node,12165763046
suburb,Aviației,6.2,44.4826693,26.0971203,node,12122091249
suburb,Baicului,4.5,44.451661,26.1472504,node,8867994996
suburb,Bariera Poștei - Bucov,57.8,44.9441649,26.032111,node,8213654796
suburb,Bazilescu,8.9,44.4905474,26.0355441,node,12137243076
suburb,Bellu,2.7,44.4031046,26.0973839,node,12168123761
suburb,Belvedere,4.6,44.4497789,26.0550255,node,8864235873
suburb,Berceni,4.4,44.3886959,26.1180036,node,8863889489
suburb,Bereasca,58.6,44.9518693,26.0441294,node,8203367418
suburb,Beuca,91.8,44.2709056,24.9682582,way,45980213
suburb,Bordeni,75.5,45.0850013,25.8662119,node,271104927
suburb,Brâncuși,7.6,44.420534,26.0072999,node,12124276452
suburb,Brățării,6.8,44.4204396,26.1879651,node,12138013596
suburb,Bucov II,57.7,44.9443661,26.0422489,node,8202980933
suburb,Bucureștii Noi,8.9,44.4905959,26.0352637,way,1309603406
suburb,Bulevardul București,55.3,44.921695,26.0343246,node,8932525552
suburb,Bâlciului,59.9,43.8983985,25.9574407,node,8815158359
suburb,Băneasa,7.8,44.4945018,26.0786696,node,8865793306
suburb,Carino,59.6,44.9573636,25.991156,node,8203743987
suburb,Carol,1.5,44.4141472,26.0973509,node,12166231912
suburb,Cartierul Armenesc,1.5,44.4397906,26.1090297,node,8867960067
suburb,Cartierul Evreiesc,0.5,44.4287249,26.1080285,node,8865171997
